observation_date,DGS5,change_in_yields_in_bps,Volatility,Policy_Scheme,Crisis_Scheme,Yield_Curve_Shape,Business_Cycles,Rolling_Volatility_Z_Score
2020-03-11,0.66,3.00,7.6132716201318305,PRE_COVID_QE,COVID_Crisis,COVID_Inversion,Recession,2.1067978920570307
2020-03-12,0.66,0.00,7.408810713635231,PRE_COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.6981855978198723
2020-03-13,0.70,4.00,7.5935436234938924,PRE_COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.6204018230065633
2020-03-16,0.49,-21.00,8.470958792081499,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.933080876531524
2020-03-17,0.66,17.00,9.672740292280402,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,2.255355372596085
2020-03-18,0.79,13.00,10.316422414217605,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,2.1987134287358083
2020-03-19,0.66,-13.00,10.481275822014362,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.9676690206351948
2020-03-20,0.52,-14.00,10.726025314515113,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.8268986115629324
2020-03-23,0.38,-14.00,10.929209442938635,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.699618431238393
2020-03-24,0.52,14.00,11.57645393522065,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.7479477363651672
2020-03-25,0.56,4.00,11.675982675071568,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.6020714409139984
2020-03-26,0.51,-5.00,11.68332144554792,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.4603402944247
2020-03-27,0.41,-10.00,11.782755761422422,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,1.3859006527658904
2020-03-30,0.39,-2.00,10.979417973992017,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,0.9506882566942134
2020-03-31,0.37,-2.00,10.97529693708297,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,0.8628704774550973
2020-04-01,0.37,0.00,10.80696424489672,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,0.7133529553759099
2020-04-02,0.39,2.00,10.84040062517459,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,0.6552241946322117
2020-04-03,0.39,0.00,10.748643325244972,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,0.541644973861462
2020-04-06,0.44,5.00,10.6833203328054,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,0.4355089026010675
2020-04-07,0.48,4.00,10.401465098267462,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,0.1770786474242314
2020-04-08,0.47,-1.00,9.653521439893119,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-0.43018027375378437
2020-04-09,0.41,-6.00,9.677908077777175,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-0.5360386247921589
2020-04-10,0.42,1.00,9.686514926874958,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-0.7261294426136875
2020-04-13,0.44,2.00,9.643156961829261,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-1.0692471483030217
2020-04-14,0.42,-2.00,8.522519189379,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-2.4212553793907987
2020-04-15,0.34,-8.00,7.685174348178752,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-2.6866420478281228
2020-04-16,0.35,1.00,6.963510335346401,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-2.5983604260172966
2020-04-17,0.36,1.00,6.523583590109259,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-2.354482046445986
2020-04-20,0.35,-1.00,5.8533669594434885,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-2.267902299368993
2020-04-21,0.34,-1.00,5.016164347577211,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-2.237514760444046
2020-04-22,0.37,3.00,3.913347124174606,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-2.274796561318796
2020-04-23,0.37,0.00,3.7670248460125846,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-1.9942559810438545
2020-04-24,0.36,-1.00,3.648874581879413,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-1.7842440854623673
2020-04-27,0.41,5.00,3.178049716414132,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-1.7289904130321778
2020-04-28,0.37,-4.00,3.2696293659184272,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-1.5125749393459296
2020-04-29,0.36,-1.00,3.2477098157962008,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-1.3699575248324578
2020-04-30,0.36,0.00,3.2477098157962008,COVID_QE,COVID_Crisis,COVID_Inversion,Recession,-1.242875426485559
2020-05-01,0.36,0.00,3.21380948853092,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.1448561162669977
2020-05-04,0.36,0.00,3.21380948853092,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.0492607454215377
2020-05-05,0.36,0.00,2.9912571015576366,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.0376519092387242
2020-05-06,0.37,1.00,2.8393493553813887,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.009732266201547
2020-05-07,0.29,-8.00,3.275449805533795,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.7699642886503166
2020-05-08,0.33,4.00,3.2167715255546194,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.724492753575558
2020-05-11,0.36,3.00,3.2885081289675506,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.6313047878112669
2020-05-12,0.34,-2.00,3.26525722752507,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.5922070403108498
2020-05-13,0.31,-3.00,3.295740396618749,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.5162288228332049
2020-05-14,0.31,0.00,2.8157719063467077,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8258499599679692
2020-05-15,0.31,0.00,2.803908836232859,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.8233537907936471
2020-05-18,0.38,7.00,3.2078772093825743,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.3417872907675355
2020-05-19,0.35,-3.00,3.2710854467592165,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.13020796628449205
2020-05-20,0.34,-1.00,3.2710854467592165,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.07822353162208978
2020-05-21,0.35,1.00,3.2078772093825747,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.03567705943363497
2020-05-22,0.34,-1.00,3.2138094885309196,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.12668989662105626
2020-05-25,0.34,0.00,3.2078772093825747,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.2465223116436784
2020-05-26,0.35,1.00,3.0023800083076857,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.9687021111255949
2020-05-27,0.34,-1.00,2.8859264419890143,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.4937518429383028
2020-05-28,0.34,0.00,2.8793187024843454,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-1.371296988221852
2020-05-29,0.30,-4.00,3.0023800083076857,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.6192066832980261
2020-06-01,0.31,1.00,3.015041656507607,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.49613265631074727
2020-06-02,0.32,1.00,3.026863849251351,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.38213123541112964
2020-06-03,0.38,6.00,3.315188711140911,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.1312293676609706
2020-06-04,0.40,2.00,3.3359513528484452,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.1451147800258643
2020-06-05,0.47,7.00,3.102993945945008,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.1284069622619667
2020-06-08,0.45,-2.00,3.075246796135686,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.25067628104190354
2020-06-09,0.40,-5.00,3.2499084236182267,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,0.7781052295775613
2020-06-10,0.33,-7.00,3.5843575501920832,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,2.294487185592993
2020-06-11,0.32,-1.00,3.52811834376612,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.8103005731303707
2020-06-12,0.33,1.00,3.53418677922887,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.6585488522457117
2020-06-15,0.33,0.00,3.53418677922887,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,1.5280678225424076
2020-06-16,0.34,1.00,3.1720505610574223,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.18114090781713826
2020-06-17,0.34,0.00,3.106061661915132,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.4550980210288652
2020-06-18,0.34,0.00,3.0983866769659243,COVID_QE,Unknown,Post-COVID_Steepening,Recovery,-0.4513279115479847
